Project Name,Description,API URL,Github URL,Last Updated,Link URL,Organization Name,Organization API URL,Organization City,Organization Website,,,,,,,,,,
dedupe,A python library for accurate and scaleable data deduplication and entity-resolution.,http://codeforamerica.org/api/projects/34159,https://github.com/datamade/dedupe,A python library for accurate and scaleable data deduplication and entity-resolution.,https://github.com/datamade/dedupe,Open Gov Hack Night,http://codeforamerica.org/api/organizations/Open-Gov-Hack-Night,Chicago_ IL,http://opengovhacknight.org,,,,,,,,,,
pmg-cms-2,Content Management System for the Parliamentary Monitoring Group,http://codeforamerica.org/api/projects/34990,https://github.com/Code4SA/pmg-cms-2,Content Management System for the Parliamentary Monitoring Group,http://pmg.org.za,Code for South Africa,http://codeforamerica.org/api/organizations/Code-for-South-Africa,Cape Town_ South Africa,http://www.code4sa.org/,,,,,,,,,,
Daten,Befreite Daten,http://codeforamerica.org/api/projects/35121,https://github.com/CodeForGiessen/Daten,Befreite Daten,,OK Lab Gießen,http://codeforamerica.org/api/organizations/OK-Lab-Gießen,Gießen_ Germany,http://codefor.de/giessen,,,,,,,,,,
wikipedia_list_of_legislatures,Get csv of the list of legislatures,http://codeforamerica.org/api/projects/36723,https://github.com/mysociety/wikipedia_list_of_legislatures,Get csv of the list of legislatures,https://morph.io/mysociety/wikipedia_list_of_legislatures,mySociety,http://codeforamerica.org/api/organizations/mySociety,Oxford_ UK,https://www.mysociety.org/,,,,,,,,,,
badeseenapp,,http://codeforamerica.org/api/projects/35118,https://github.com/CodeForGiessen/badeseenapp,,(null),OK Lab Gießen,http://codeforamerica.org/api/organizations/OK-Lab-Gießen,Gießen_ Germany,http://codefor.de/giessen,,,,,,,,,,
FinderApp,A generic web-app for finding the nearest locations of a single type of utility (e.g. toilets,recycling stations) on OpenStreetmap,http://codeforamerica.org/api/projects/35143,https://github.com/codeformunich/FinderApp,A generic web-app for finding the nearest locations of a single type of utility (e.g. toilets,recycling stations) on OpenStreetmap,(null),OK Lab München,http://codeforamerica.org/api/organizations/OK-Lab-München,Munich_ Germany,http://codefor.de/muenchen,,,,,,,,
badeseen,Qualität der Badeseen im Landkreis Gießen,http://codeforamerica.org/api/projects/35117,https://github.com/CodeForGiessen/badeseen,Qualität der Badeseen im Landkreis Gießen,http://codeforgiessen.github.io/badeseen/,OK Lab Gießen,http://codeforamerica.org/api/organizations/OK-Lab-Gießen,Gießen_ Germany,http://codefor.de/giessen,,,,,,,,,,
indigo,AfricanLII's Indigo platform for legislation management,http://codeforamerica.org/api/projects/34971,https://github.com/Code4SA/indigo,AfricanLII's Indigo platform for legislation management,http://code4sa-indigo.herokuapp.com,Code for South Africa,http://codeforamerica.org/api/organizations/Code-for-South-Africa,Cape Town_ South Africa,http://www.code4sa.org/,,,,,,,,,,
popit,Create,store and share key facts about people and their career histories,http://codeforamerica.org/api/projects/35816,https://github.com/mysociety/popit,Create,store and share key facts about people and their career histories,http://popit.mysociety.org/,mySociety,http://codeforamerica.org/api/organizations/mySociety,Oxford_ UK,https://www.mysociety.org/,,,,,,,,
popit,Create,store and share key facts about people and their career histories,http://codeforamerica.org/api/projects/36052,https://github.com/mysociety/popit,Create,store and share key facts about people and their career histories,http://popit.poplus.org/,Poplus,http://codeforamerica.org/api/organizations/Poplus,,http://poplus.org/,,,,,,,,
